antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Meat, ProcessedFood, Produce","Bakery, Drinks",0.007017309363095636,0.0533983826772706,0.0010024727661565194,0.14285714285714285,2.6753084212408367,1.0,0.0006277597954211446,1.1043685535431842,0.6306366940368825,0.01687289088863892,0.0945051841691209,0.08081530484534238
"Bakery, Drinks","Meat, ProcessedFood, Produce",0.0533983826772706,0.007017309363095636,0.0010024727661565194,0.01877346683354193,2.6753084212408367,1.0,0.0006277597954211446,1.0119810839526615,0.6615362891838463,0.01687289088863892,0.011839237059515943,0.08081530484534238
"Bakery, ProcessedFood","Drinks, Meat, Produce",0.0206509389828243,0.018178172826304885,0.0010024727661565194,0.048543689320388356,2.670438320959452,1.0,0.0006270764283012626,1.0319147775397,0.6387198034666304,0.0265017667844523,0.030927726043221766,0.05184537407195888
"Drinks, Meat, Produce","Bakery, ProcessedFood",0.018178172826304885,0.0206509389828243,0.0010024727661565194,0.05514705882352942,2.670438320959452,1.0,0.0006270764283012626,1.0365095120493066,0.6371111564903683,0.0265017667844523,0.035223518573527415,0.05184537407195888
"Meat, ProcessedFood","Bakery, Drinks, Produce",0.025128650671656753,0.01697520550691706,0.0010024727661565194,0.0398936170212766,2.3501109901155974,1.0,0.0005759087568936166,1.0238707000814382,0.5892964054751948,0.024390243902439022,0.023314174416300345,0.04947436756575641
"Bakery, Drinks, Produce","Meat, ProcessedFood",0.01697520550691706,0.025128650671656753,0.0010024727661565194,0.05905511811023623,2.3501109901155974,1.0,0.0005759087568936166,1.0360557436376536,0.5844086387019285,0.024390243902439022,0.03480096882727529,0.04947436756575641
"Bakery, Drinks, Meat","ProcessedFood, Produce",0.009891064626077658,0.043440486533449174,0.0010024727661565194,0.10135135135135136,2.3331081081081084,1.0,0.0005728001064659175,1.0644421653612746,0.5770952863089213,0.019157088122605363,0.06054078601762526,0.06221413721413722
"ProcessedFood, Produce","Bakery, Drinks, Meat",0.043440486533449174,0.009891064626077658,0.0010024727661565194,0.023076923076923078,2.3331081081081084,1.0,0.0005728001064659175,1.0134973354221253,0.5973357553739026,0.019157088122605363,0.013317583530205875,0.06221413721413722
"Bakery, Drinks, ProcessedFood","Meat, Produce",0.005212858384013901,0.08293791352001605,0.0010024727661565194,0.1923076923076923,2.318694601128122,1.0,0.0005701291683110839,1.1354102023085515,0.5717030567685589,0.011503067484662574,0.11926104066462612,0.10219735944957539
"Meat, Produce","Bakery, Drinks, ProcessedFood",0.08293791352001605,0.005212858384013901,0.0010024727661565194,0.012087026591458501,2.318694601128122,1.0,0.0005701291683110839,1.0069582730386941,0.6201574114560559,0.011503067484662574,0.00691019004957968,0.10219735944957539
"Bakery, Meat, ProcessedFood","Drinks, Produce",0.00394305954688231,0.11140814007886118,0.0010024727661565194,0.2542372881355932,2.282035118400049,1.0,0.0005631838358181641,1.1915209030760725,0.5640186079799606,0.008766803039158387,0.16073650288604702,0.13161774424776063
"Drinks, Produce","Bakery, Meat, ProcessedFood",0.11140814007886118,0.00394305954688231,0.0010024727661565194,0.008998200359928016,2.282035118400049,1.0,0.0005631838358181641,1.0051010410020262,0.6322302446851183,0.008766803039158387,0.005075152441331381,0.13161774424776063
"Bakery, Meat","Drinks, ProcessedFood, Produce",0.04377464412216801,0.01049254828577157,0.0010024727661565194,0.022900763358778626,2.182574026352895,1.0,0.0005431651990122049,1.0126990326137806,0.5666293914826205,0.018820577164366373,0.012539789418979102,0.05922108231633198
"Drinks, ProcessedFood, Produce","Bakery, Meat",0.01049254828577157,0.04377464412216801,0.0010024727661565194,0.09554140127388534,2.182574026352895,1.0,0.0005431651990122049,1.0572350765691523,0.5475708046287542,0.018820577164366373,0.05413656606521851,0.05922108231633198
"Drinks, ProcessedFood","Bakery, Meat, Produce",0.03248011762347123,0.014168281761678808,0.0010024727661565194,0.0308641975308642,2.1784008851618917,1.0,0.0005422853080147096,1.0172276328318983,0.5591075499067487,0.021961932650073207,0.016935867917722256,0.050809457255998135
"Bakery, Meat, Produce","Drinks, ProcessedFood",0.014168281761678808,0.03248011762347123,0.0010024727661565194,0.07075471698113207,2.1784008851618912,1.0,0.0005422853080147096,1.0411889089534219,0.5487221205342011,0.021961932650073207,0.03955949645566618,0.050809457255998135
"Bakery, ProcessedFood, Produce","Drinks, Meat",0.00755196150504578,0.0634231103388358,0.0010024727661565194,0.13274336283185842,2.0929809673899866,1.0,0.0005235038783473605,1.0799304952215465,0.5261863075196408,0.014326647564469913,0.07401448109412713,0.07427473726419054
"Drinks, Meat","Bakery, ProcessedFood, Produce",0.0634231103388358,0.00755196150504578,0.0010024727661565194,0.015806111696522657,2.0929809673899866,1.0,0.0005235038783473605,1.0083867114900553,0.5575757575757575,0.014326647564469913,0.008316959549836264,0.07427473726419054
"Meat, Snacks","Dairy, Drinks, Produce",0.02071777050056807,0.032546949141215,0.0013366303548753592,0.06451612903225806,1.9822481287673048,1.0,0.000662330132074006,1.0341739509180115,0.5060055961236607,0.02574002574002574,0.033044683525122784,0.05279194541961979
"Dairy, Drinks, Produce","Meat, Snacks",0.032546949141215,0.02071777050056807,0.0013366303548753592,0.04106776180698152,1.9822481287673046,1.0,0.000662330132074006,1.0212215112767093,0.5121925946394031,0.02574002574002574,0.020780517294606185,0.05279194541961979
