antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Month
"Meat:frankfurter, Meat:sausage","Drinks:coffee, Drinks:soda, ProcessedFood:pastry",0.001579778830963665,0.001579778830963665,0.001579778830963665,1.0,633.0,1.0,0.0015772831298089041,inf,1.0,1.0,1.0,1.0,10
"Drinks:coffee, Drinks:soda, ProcessedFood:pastry","Meat:frankfurter, Meat:sausage",0.001579778830963665,0.001579778830963665,0.001579778830963665,1.0,633.0,1.0,0.0015772831298089041,inf,1.0,1.0,1.0,1.0,10
"Dairy:spread cheese, Drinks:soda","ProcessedFood:frozen meals, Produce:root vegetables",0.001589825119236884,0.001589825119236884,0.001589825119236884,1.0,629.0,1.0,0.0015872975753271274,inf,1.0,1.0,1.0,1.0,7
"ProcessedFood:frozen meals, Produce:root vegetables","Dairy:spread cheese, Drinks:soda",0.001589825119236884,0.001589825119236884,0.001589825119236884,1.0,629.0,1.0,0.0015872975753271274,inf,1.0,1.0,1.0,1.0,7
"Meat:frankfurter, Produce:frozen vegetables","Bakery:brown bread, Drinks:canned beer, Produce:pip fruit",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Bakery:brown bread, Drinks:canned beer, Produce:frozen vegetables","Meat:frankfurter, Produce:pip fruit",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Bakery:brown bread, Produce:frozen vegetables, Produce:pip fruit","Drinks:canned beer, Meat:frankfurter",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Bakery:brown bread, Drinks:canned beer, Produce:pip fruit","Meat:frankfurter, Produce:frozen vegetables",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Meat:frankfurter, Produce:pip fruit","Bakery:brown bread, Drinks:canned beer, Produce:frozen vegetables",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Drinks:canned beer, Meat:frankfurter","Bakery:brown bread, Produce:frozen vegetables, Produce:pip fruit",0.0015987210231814548,0.0015987210231814548,0.0015987210231814548,1.0,625.5,1.0,0.0015961651142714925,inf,1.0000000000000002,1.0,1.0,1.0,11
"Meat:sausage, ProcessedFood:frozen meals","Bakery:long life bakery product, Drinks:soda",0.001693480101608806,0.001693480101608806,0.001693480101608806,1.0,590.5,1.0,0.001690612226754261,inf,1.0,1.0,1.0,1.0,3
"Bakery:long life bakery product, Drinks:soda","Meat:sausage, ProcessedFood:frozen meals",0.001693480101608806,0.001693480101608806,0.001693480101608806,1.0,590.5,1.0,0.001690612226754261,inf,1.0,1.0,1.0,1.0,3
"Meat:frankfurter, ProcessedFood:pastry","Drinks:coffee, Drinks:soda, Meat:sausage",0.002369668246445498,0.001579778830963665,0.001579778830963665,0.6666666666666666,422.0,1.0,0.0015760352792315237,2.9952606635071084,1.0,0.6666666666666667,0.6661392405063291,0.8333333333333333,10
"Meat:meat, Produce:other vegetables","Bakery:roll products , Produce:tropical fruit",0.002369668246445498,0.001579778830963665,0.001579778830963665,0.6666666666666666,422.0,1.0,0.0015760352792315237,2.9952606635071084,1.0,0.6666666666666667,0.6661392405063291,0.8333333333333333,10
"Meat:meat, Produce:tropical fruit","Bakery:roll products , Produce:other vegetables",0.002369668246445498,0.001579778830963665,0.001579778830963665,0.6666666666666666,422.0,1.0,0.0015760352792315237,2.9952606635071084,1.0,0.6666666666666667,0.6661392405063291,0.8333333333333333,10
"Bakery:roll products , Produce:tropical fruit","Meat:meat, Produce:other vegetables",0.001579778830963665,0.002369668246445498,0.001579778830963665,1.0,421.99999999999994,1.0,0.0015760352792315237,inf,0.9992088607594937,0.6666666666666667,1.0,0.8333333333333333,10
"Drinks:coffee, Drinks:soda, Meat:sausage","Meat:frankfurter, ProcessedFood:pastry",0.001579778830963665,0.002369668246445498,0.001579778830963665,1.0,421.99999999999994,1.0,0.0015760352792315237,inf,0.9992088607594937,0.6666666666666667,1.0,0.8333333333333333,10
"Bakery:roll products , Produce:other vegetables","Meat:meat, Produce:tropical fruit",0.001579778830963665,0.002369668246445498,0.001579778830963665,1.0,421.99999999999994,1.0,0.0015760352792315237,inf,0.9992088607594937,0.6666666666666667,1.0,0.8333333333333333,10
"Drinks:canned beer, Meat:frankfurter","Bakery:brown bread, Produce:frozen vegetables",0.0015987210231814548,0.002398081534772182,0.0015987210231814548,1.0,417.00000000000006,1.0,0.0015948871598165113,inf,0.9991993594875902,0.6666666666666667,1.0,0.8333333333333334,11
"Bakery:brown bread, Drinks:canned beer, Meat:frankfurter","Produce:frozen vegetables, Produce:pip fruit",0.0015987210231814548,0.002398081534772182,0.0015987210231814548,1.0,417.00000000000006,1.0,0.0015948871598165113,inf,0.9991993594875902,0.6666666666666667,1.0,0.8333333333333334,11
