antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Weekday
"Bag:shopping bags, Bakery:rolls/buns","Dairy:butter, Drinks:soda",0.003754106053496011,0.00328484279680901,0.0014077897700610043,0.37500000000000006,114.1607142857143,1.0,0.0013954581218327208,1.5947442515251056,0.9949756633694458,0.25000000000000006,0.3729402071563089,0.4017857142857143,Wednesday
"Dairy:butter, Drinks:soda","Bag:shopping bags, Bakery:rolls/buns",0.00328484279680901,0.003754106053496011,0.0014077897700610043,0.4285714285714286,114.16071428571429,1.0,0.0013954581218327208,1.743430314406382,0.9945072190834902,0.25000000000000006,0.4264181414440482,0.4017857142857143,Wednesday
"Bag:shopping bags, Dairy:butter","Bakery:rolls/buns, Drinks:soda",0.002346316283435007,0.007508212106992022,0.0014077897700610043,0.6000000000000001,79.91250000000001,1.0,0.0013901731297348851,2.4812294697325203,0.9898087174662904,0.16666666666666669,0.5969739952718677,0.39375000000000004,Wednesday
"Bakery:rolls/buns, Drinks:soda","Bag:shopping bags, Dairy:butter",0.007508212106992022,0.002346316283435007,0.0014077897700610043,0.18750000000000003,79.91250000000001,1.0,0.0013901731297348851,1.2278814568819263,0.994956658786446,0.16666666666666669,0.18558913452492945,0.39375000000000004,Wednesday
Household:house keeping products,"Dairy:margarine, Dairy:whole milk",0.0032679738562091504,0.006069094304388422,0.0014005602240896359,0.42857142857142855,70.61538461538461,1.0,0.0013807265825720267,1.7393790849673203,0.9890710382513662,0.17647058823529413,0.42508219821512444,0.32967032967032966,Tuesday
"Dairy:margarine, Dairy:whole milk",Household:house keeping products,0.006069094304388422,0.0032679738562091504,0.0014005602240896359,0.23076923076923075,70.61538461538461,1.0,0.0013807265825720267,1.295751633986928,0.9918584625019572,0.17647058823529413,0.22824716267339218,0.32967032967032966,Tuesday
"Drinks:canned beer, Meat:pork",Condiments:oil,0.001403180542563143,0.01683816651075772,0.001403180542563143,1.0,59.388888888888886,1.0,0.0013795535549428095,inf,0.9845433255269321,0.08333333333333331,1.0,0.5416666666666666,Sunday
Condiments:oil,"Drinks:canned beer, Meat:pork",0.01683816651075772,0.001403180542563143,0.001403180542563143,0.08333333333333331,59.38888888888888,1.0,0.0013795535549428095,1.0893783484990218,1.0000000000000002,0.08333333333333331,0.08204527712724433,0.5416666666666666,Sunday
"Bakery:rolls/buns, Dairy:butter","Bag:shopping bags, Drinks:soda",0.00328484279680901,0.008446738620366025,0.0014077897700610043,0.4285714285714286,50.73809523809525,1.0,0.0013800435615473666,1.7352182074143596,0.9835216572504708,0.13636363636363638,0.42370360354269493,0.29761904761904767,Wednesday
"Bag:shopping bags, Drinks:soda","Bakery:rolls/buns, Dairy:butter",0.008446738620366025,0.00328484279680901,0.0014077897700610043,0.16666666666666669,50.73809523809524,1.0,0.0013800435615473666,1.1960581886438293,0.9886417415996215,0.13636363636363638,0.1639202762084118,0.29761904761904767,Wednesday
"Dairy:curd, Produce:citrus fruit",Snacks:specialty chocolate,0.0018509949097639982,0.01897269782508098,0.0013882461823229986,0.75,39.53048780487805,1.0,0.0013531278152242832,3.9241092086996763,0.9765105856900016,0.07142857142857144,0.7451650943396226,0.41158536585365857,Saturday
Snacks:specialty chocolate,"Dairy:curd, Produce:citrus fruit",0.01897269782508098,0.0018509949097639982,0.0013882461823229986,0.07317073170731708,39.53048780487805,1.0,0.0013531278152242832,1.0769502423342021,0.9935534591194968,0.07142857142857144,0.07145199407487818,0.41158536585365857,Saturday
Dairy:butter,"Bag:shopping bags, Bakery:rolls/buns, Drinks:soda",0.030971374941342094,0.0014077897700610043,0.0014077897700610043,0.045454545454545456,32.28787878787879,1.0,0.0013641885852538592,1.0461442202408884,1.0,0.045454545454545456,0.044108851674641146,0.5227272727272727,Wednesday
"Bag:shopping bags, Bakery:rolls/buns, Drinks:soda",Dairy:butter,0.0014077897700610043,0.030971374941342094,0.0014077897700610043,1.0,32.28787878787879,1.0,0.0013641885852538592,inf,0.9703947368421052,0.045454545454545456,1.0,0.5227272727272727,Wednesday
"Condiments:oil, Drinks:canned beer",Meat:pork,0.001403180542563143,0.03554724041159962,0.001403180542563143,1.0,28.131578947368425,1.0,0.0013533013464757722,inf,0.965807962529274,0.039473684210526314,1.0,0.5197368421052632,Sunday
Meat:pork,"Condiments:oil, Drinks:canned beer",0.03554724041159962,0.001403180542563143,0.001403180542563143,0.039473684210526314,28.13157894736842,1.0,0.0013533013464757722,1.0396350449145917,1.0,0.039473684210526314,0.03812399852089239,0.5197368421052632,Sunday
Snacks:candy,"Bakery:rolls/buns, Drinks:bottled beer",0.013576779026217229,0.003745318352059925,0.0014044943820224719,0.10344827586206896,27.620689655172413,1.0,0.0013536450223737182,1.11120714491501,0.977060591678532,0.08823529411764705,0.10007778065854292,0.23922413793103448,Friday
"Bakery:rolls/buns, Drinks:bottled beer",Snacks:candy,0.003745318352059925,0.013576779026217229,0.0014044943820224719,0.375,27.620689655172413,1.0,0.0013536450223737182,1.5782771535580524,0.9674185463659148,0.08823529411764705,0.36639772187944947,0.23922413793103448,Friday
